Taxpayer_ID,Year,Tax_due,Sector,Revenues,Other_revenues,Expenses,Donations_NGO,Donations_Others,Donations_Govt,Other_additions,Tax_depreciation,Other_deductions,Carried_forward_losses,Exemptions,Investment_incentive,Exchange_rate,Net_accounting_profit,Total_additions_to_GP,Total_taxable_profit,Tax_depr,Total_deductions,Net_taxable_profit,Donations_allowed,CF_losses,Tax_base,Net_tax_base,Net_tax_base_Egyp_Pounds,citax
2000000778,2020,1387278,0,57857804,39315210,78336459,0,0,0,24701540,36729408,11025,0,0,0,1,18836554,24701540,43538094,36729408,36740433,6797661,0,0,6797661,6797661,6797661,1529474
2000001451,2020,1301067,0,6371910,4746,4422726,0,0,0,4421300,0,0,0,0,0,1,1953930,4421300,6375229,0,0,6375229,0,0,6375229,6375229,6375229,1434427
2000000412,2020,1293862,0,5345060,2479930,18008655,0,0,0,18581391,413107,1644697,0,0,0,1,-10183665,18581391,8397726,413107,2057804,6339922,0,0,6339922,6339922,6339922,1426482
2000004589,2020,1267123,0,12403575,10619150,7626504,0,0,0,6150142,0,15337460,0,0,0,1,15396221,6150142,21546363,0,15337460,6208903,0,0,6208903,6208903,6208903,1397003
2000000435,2020,-1763476,0,-154467,886158,6213592,0,0,0,5751235,7850282,1060087,0,0,0,1,-5481901,5751235,269334,7850282,8910369,-8641034,0,0,-8641034,-8641034,-8641034,0
2000002706,2020,1558041997,1,36166503254,155263354,28164908627,9150483,190658,113056774,10440961498,421256748,10513284743,0,29062860,0,1,8156857981,10563359413,18720217393,421256748,11047598264,7672619129,9150483,0,7663468646,7634405786,7634405786,1717741302
2000002673,2020,286500883,1,3362928425,1583881747,1757927870,0,0,0,1392885662,5013050,3159008199,0,13892389,0,1,3188882302,1392885662,4581767964,5013050,3164021249,1417746716,0,0,1417746716,1403854327,1403854327,315867224
2000002719,2020,550418185,1,12239939565,122465700,8385994260,8696520,0,0,5115063755,263386484,5973530630,0,157508540,0,1,3976411005,5123760275,9100171280,263386484,6236917114,2863254166,8696520,0,2854557646,2697049106,2697049106,606836049
2000002746,2020,643720487,1,24699083290,204801326,21425150201,69388153,1047375,177578187,9155846796,424374318,8821726150,0,235297732,0,1,3478734415,9403860510,12882594925,424374318,9423678654,3458916271,69388153,0,3389528118,3154230386,3154230386,709701837
2000001176,2020,322002098,1,6832568594,56687257,5383804183,18566651,1266772,0,2259822526,153362863,1997129226,0,38238595,0,1,1505451668,2279655950,3785107617,153362863,2150492089,1634615528,18566651,0,1616048877,1577810282,1577810282,355007313
-2147483648,2020,3103165113,2,1010949899,0,0,0,0,0,0,0,690740932,0,0,0,16,1010949899,0,1010949899,0,690740932,320208968,0,0,320208968,538618953,8437088870,3421239537
-2147483648,2020,1844125373,2,2658695081,0,0,0,0,0,0,0,2468403730,0,0,0,16,2658695081,0,2658695081,0,2468403730,190291351,0,0,190291351,320086377,5013929036,2033148224
-2147483648,2020,1844125373,2,2658695081,0,0,0,0,0,0,0,2468403730,0,0,0,16,2658695081,0,2658695081,0,2468403730,190291351,0,0,190291351,320086377,5013929036,2033148224
-2147483648,2020,1844125373,2,2658695081,0,0,0,0,0,0,0,2468403730,0,0,0,16,2658695081,0,2658695081,0,2468403730,190291351,0,0,190291351,320086377,5013929036,2033148224
-2147483648,2020,1243868484,2,444052906,0,0,0,0,0,0,0,315700779,0,0,0,16,444052906,0,444052906,0,315700779,128352127,0,0,128352127,215899289,3381911230,1371365004
2000003695,2020,68735370,3,1421360856,74123752,1228367361,0,0,0,209026381,104967027,8926294,0,25446994,0,1,267117247,209026381,476143627,104967027,113893322,362250306,0,0,362250306,336803312,336803312,75780745
2000004193,2020,0,3,0,0,18632,0,0,0,0,0,0,0,0,0,1,-18632,0,-18632,0,0,-18632,0,0,-18632,-18632,-18632,0
2000000100,2020,0,3,1176866101,27962633,1204828736,6615,0,0,29172415,29506898,22204125,472813909,0,0,1,-2,29179030,29179027,29506898,51711023,-22531995,0,472813909,-495345904,-495345904,-495345904,0
2000003937,2020,0,3,0,0,4803518,0,0,0,0,44749,0,48880665,0,0,1,-4803518,0,-4803518,44749,44749,-4848267,0,48880665,-53728932,-53728932,-53728932,0
2000003308,2020,0,3,0,0,46580,0,0,0,429,0,0,0,0,0,1,-46580,429,-46151,0,0,-46151,0,0,-46151,-46151,-46151,0
